repeat,fold,train_elapsed_s,mae,rmse,r2,kendall_tau
1,1,0.447202,5.7397347689749365,8.034178892004732,0.90981417076491,0.8206525716134356
1,2,0.449296,5.539209366979258,8.055320027497803,0.918466868138711,0.8286994190371021
1,3,0.436153,6.343039371682936,8.968511881429047,0.8935002720344056,0.8110211265694649
1,4,0.422716,5.887317634624184,8.539482530205953,0.8983620108809452,0.8038703770410913
1,5,0.421043,6.388680280698149,9.24337467412229,0.8833531852297636,0.8007732907505319
2,1,0.413226,5.959791088326817,8.61700209549776,0.9034400292875374,0.8154170643073555
2,2,0.411672,6.280105132181628,8.963244775850097,0.8855111306280163,0.7909082430412244
2,3,0.413491,5.9845574761429345,9.162062135879951,0.8829764845844014,0.8023621838094421
2,4,0.420176,5.84694221558682,8.226682745353989,0.9130210504914182,0.8299299360164856
2,5,0.410704,6.330199278869512,9.12422678001692,0.8895720395081417,0.8124616674777558
3,1,0.417749,5.790555482426075,8.318659535353492,0.9060600607262113,0.8167370637730877
3,2,0.399171,6.020176585763541,8.99645434300337,0.8860926988539728,0.801347286230941
3,3,0.423031,6.121484273578719,8.768144180484363,0.8980745926215825,0.8080189559746915
3,4,0.422043,6.298927397514319,9.452402804807566,0.882036261068031,0.8045301165242073
3,5,0.44272,6.0159394405186255,8.384835558813188,0.9077171604554297,0.8199367058797368
4,1,0.591793,6.402777855645235,9.455957558253523,0.8811953641543516,0.7979791728360583
4,2,0.419119,6.2544588295242125,8.942097044221699,0.8875476371174389,0.807545200628977
4,3,0.401393,6.215150072766451,8.84677488829041,0.8962256143711531,0.8104843206259748
4,4,0.410994,6.323248885021356,9.188059153116372,0.8820726094429048,0.7943763556529652
4,5,0.402143,5.3817224804730435,7.832541003762736,0.9220783528431219,0.8337534315057535
5,1,0.419629,5.673051798266049,8.12228967951081,0.9104857210808845,0.8171163480483616
5,2,0.402968,6.517923864261047,9.793427354299093,0.8739565235622175,0.7994777961370257
5,3,0.40445,5.917506246523643,8.276215898570127,0.9082071573585075,0.8180638288240677
5,4,0.399643,5.925570183668758,8.107385735043229,0.9101903380556813,0.8164729929829827
5,5,0.412013,5.957635657708426,9.348316628968224,0.8829072077868559,0.8102238135221475
